Date,High,Low,Open,Close,Volume,Adj Close
2018-01-01,700.6430053710938,685.4940185546875,697.8800048828125,688.0659790039062,1924920.0,642.1515502929688
2018-01-02,696.6890258789062,681.4450073242188,689.781005859375,694.8309936523438,2589691.0,648.4652099609375
2018-01-03,702.6430053710938,696.6890258789062,697.4030151367188,700.2139892578125,2765485.0,653.4888916015625
2018-01-04,727.3670043945312,697.4030151367188,701.6909790039062,724.3179931640625,8483966.0,675.9844970703125
2018-01-05,740.1810302734375,726.4619750976562,727.8909912109375,734.2739868164062,7490215.0,685.276123046875
2018-01-08,741.0859985351562,728.843994140625,740.9910278320312,732.416015625,2712538.0,683.5421142578125
2018-01-09,743.9439697265625,730.7490234375,733.6069946289062,735.7990112304688,3356422.0,686.6993408203125
2018-01-10,740.2760009765625,726.843017578125,734.7979736328125,736.322998046875,3139253.0,687.1884155273438
2018-01-11,741.1339721679688,732.0349731445312,736.322998046875,734.5120239257812,2030757.0,685.4982299804688
2018-01-12,740.0859985351562,724.1279907226562,734.75,733.844970703125,2277586.0,684.875732421875
2018-01-15,755.52001953125,734.5599975585938,735.5130004882812,746.468994140625,4378610.0,696.6572875976562
2018-01-16,745.7550048828125,724.1749877929688,745.7550048828125,729.5579833984375,2929800.0,680.8748168945312
2018-01-17,741.1810302734375,721.2219848632812,731.7020263671875,737.4180297851562,3136407.0,688.2103881835938
2018-01-18,742.9920043945312,710.9320068359375,738.3709716796875,716.219970703125,4845844.0,668.4267578125
2018-01-19,725.9849853515625,707.406982421875,716.9340209960938,717.4110107421875,3377609.0,669.5383911132812
2018-01-22,720.6500244140625,712.0280151367188,716.4580078125,716.6480102539062,3784599.0,668.8263549804688
2018-01-23,749.8989868164062,716.4580078125,716.4580078125,742.89599609375,8435532.0,693.32275390625
2018-01-24,743.7059936523438,721.364990234375,743.6110229492188,726.0809936523438,5179950.0,677.6298217773438
2018-01-25,736.5609741210938,722.4130249023438,728.843994140625,732.7969970703125,8814273.0,683.897705078125
2018-01-29,754.3770141601562,733.75,734.5599975585938,746.135986328125,6830861.0,696.3465576171875
2018-01-30,746.8499755859375,734.7979736328125,743.7059936523438,739.1810302734375,6317983.0,689.855712890625
2018-01-31,747.9000244140625,701.7000122070312,735.5,705.0499877929688,12958902.0,658.002197265625
2018-02-01,712.75,681.5999755859375,708.0,696.75,7403931.0,650.256103515625
2018-02-02,693.0,666.0499877929688,692.0,670.4500122070312,6500926.0,625.7111206054688
2018-02-05,674.5,650.5,661.0,664.0499877929688,4698722.0,619.7380981445312
2018-02-06,679.0,632.5499877929688,641.0,664.5,6704557.0,620.1581420898438
2018-02-07,682.2000122070312,657.0,668.0,661.7999877929688,6789521.0,617.6383056640625
2018-02-08,677.0,654.0,660.0499877929688,671.4500122070312,5845590.0,626.6443481445312
2018-02-09,690.0,660.1500244140625,663.7000122070312,685.2999877929688,9140288.0,639.5701293945312
